Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
N,,,N,N,N,N,N,N,BusinessZip,,,Street address of the company,NVARCHAR(30),Zip Code,FIRMOGRAPHICS,Other,,,ALPHA
N,,,N,N,N,N,N,N,Citysearch_Source_IsMatched,N/A,,Internal Source Match Attribute Citysearch,BIT,Internal Source Match Attribute Citysearch,FIRMOGRAPHICS,Other,,,BOOLEAN
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_AcademicEduMgmtSoftware,HGData_Pivoted_Source,,"Number of Academic Education Software Technologies found behind firewall. Eg. Blackboard, Ellucian, CampusVue",INT,Academic Education Software,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_ApplicationDevelopmentMgmt,HGData_Pivoted_Source,,"Number of Application Development Technologies found behind firewall. Eg. Adobe, Microsoft Visual, IBM Websphere",INT,Application Development Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
N,,Y,N,N,N,N,N,N,HGData_Pivoted_Source_IsMatched,N/A,,Internal Source Match Attribute HGData Pivoted,BIT,Internal Source Match Attribute HGData Pivoted,FIRMOGRAPHICS,Other,NOMINAL,,BOOLEAN
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_AssetPerformanceManagement,HGData_Pivoted_Source,,"Number of Asset Performance Technologies found behind firewall. Eg. IBM Maximo, Peoplesoft Asset Management, SAP Asset Management",INT,Asset Performance Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_AutomatedProcessWorkflowSystems,HGData_Pivoted_Source,,"Number of Automated Process Workflow Technologies found behind firewall. Eg. BMC Control, Borland Silk, Nintex",INT,Automated Process Workflow Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_BPM,HGData_Pivoted_Source,,"Number of Business Process Management Technologies found behind firewall. Eg. Tibco, Ariba, Webmethods",INT,Business Process Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_BusinessIntelligence,HGData_Pivoted_Source,,"Number of Business Intelligence Technologies found behind firewall. Eg. Cognos, Hyperion, Tableau",INT,Business Intelligence Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,EcommerceTechnologiesTopAttributes,BuiltWith_Pivoted_Source,,A popular eCommerce Technology is detected in use,NVARCHAR(500),Has Top eCommerce Tech,WEBSITE_PROFILE,Other,NOMINAL,,ALPHA
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CaseManagement,HGData_Pivoted_Source,,"Number of Case Management Technologies found behind firewall. Eg. Amicus, IssueTrak, Needles",INT,Case Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_ChangeManagement,HGData_Pivoted_Source,,"Number of Change Management Technologies found behind firewall. Eg. Borland, IBM Rational, CA Endevor",INT,Change Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
