AMColumnID	IsSegment	DecodeStrategy	EncodeBitUnit	BucketAlgorithm
BusinessTechnologiesAds	true			
BusinessTechnologiesAnalytics	true			
BusinessTechnologiesCdn	true			
BusinessTechnologiesCms	true			
BusinessTechnologiesDocinfo	true			
BusinessTechnologiesEncoding	true			
BusinessTechnologiesFeeds	true			
BusinessTechnologiesFirstDetected	true			
BusinessTechnologiesFramework	true			
BusinessTechnologiesHosting	true			
BusinessTechnologiesJavascript	true			
BusinessTechnologiesMapping	true			
BusinessTechnologiesMarketingAutomation	true			
BusinessTechnologiesMedia	true			
BusinessTechnologiesMx	true			
BusinessTechnologiesNs	true			
BusinessTechnologiesOpenSourceAdoption	true			
BusinessTechnologiesParked	true			
BusinessTechnologiesPayment	true			
BusinessTechnologiesRecentlyDetected	true			
BusinessTechnologiesRecentTags	true			
BusinessTechnologiesRecentTechnologies	true			
BusinessTechnologiesSeoHeaders	true			
BusinessTechnologiesSeoMeta	true			
BusinessTechnologiesSeoTitle	true			
BusinessTechnologiesServer	true			
BusinessTechnologiesShop	true			
BusinessTechnologiesSocialMediaPresence	true			
BusinessTechnologiesSsl	true			
BusinessTechnologiesWebMaster	true			
BusinessTechnologiesWebServer	true			
BusinessTechnologiesWidgets	true			
CABLE_TELEX_NUMBER	false			
CHIEF_EXECUTIVE_OFFICER_NAME	false			
CHIEF_EXECUTIVE_OFFICER_TITLE	false			
CloudTechnologies_AcademicEduMgmtSoftware	true			
CloudTechnologies_ApplicationDevelopmentMgmt	true			
CloudTechnologies_AssetPerformanceManagement	true			
CloudTechnologies_AutomatedProcessWorkflowSystems	true			
CloudTechnologies_BPM	true			
CloudTechnologies_BusinessIntelligence	true			
CloudTechnologies_CaseManagement	true			
CloudTechnologies_ChangeManagement	true			
CloudTechnologies_CloudInfrastructureComputing	true			
CloudTechnologies_CloudService_One	true			
CloudTechnologies_CloudService_Two	true			
CloudTechnologies_Collaboration	true			
CloudTechnologies_Commerce	true			
CloudTechnologies_CommTech_One	true			
CloudTechnologies_CommTech_Two	true			
CloudTechnologies_CommunicationsTechnology	true			
CloudTechnologies_Construction	true			
CloudTechnologies_ConsumerElectronics	true			
CloudTechnologies_ContactCenterManagement	true			
CloudTechnologies_CRM	true			
CloudTechnologies_CRM_One	true			
CloudTechnologies_CRM_Two	true			
CloudTechnologies_CustomerOrderManagement	true			
CloudTechnologies_DataArchivingBackUpRecovery	true			
CloudTechnologies_DatabaseManagementSoftware	true			
CloudTechnologies_DataCenterSolutions_One	true			
CloudTechnologies_DataCenterSolutions_Two	true			
CloudTechnologies_DataManagementStorageHardware	true			
CloudTechnologies_DesignPublishing	true			
CloudTechnologies_DocumentManagement	true			
CloudTechnologies_DR	true			
CloudTechnologies_EBS	true			
CloudTechnologies_ECM	true			
CloudTechnologies_EDA	true			
CloudTechnologies_EDI	true			
CloudTechnologies_Email	true			
CloudTechnologies_EnterpriseApplications_One	true			
CloudTechnologies_EnterpriseApplications_Two	true			
CloudTechnologies_EnterpriseContent_One	true			
CloudTechnologies_EnterpriseContent_Two	true			
CloudTechnologies_EnterpriseLearning	true			
CloudTechnologies_EPM	true			
CloudTechnologies_ERP	true			
CloudTechnologies_FinancialAnalyticalApplications	true			
CloudTechnologies_GRC	true			
CloudTechnologies_HardwareBasic_One	true			
CloudTechnologies_HardwareBasic_Two	true			
CloudTechnologies_HardwareOther	true			
CloudTechnologies_HelpDeskManagement	true			
CloudTechnologies_HRMS_HCM	true			
CloudTechnologies_Hypervisor	true			
CloudTechnologies_IaaS	true			
CloudTechnologies_InventoryManagement	true			
CloudTechnologies_ITGovernance_One	true			
CloudTechnologies_ITGovernance_Two	true			
CloudTechnologies_ITInfrastructureOperations	true			
CloudTechnologies_ITManagement	true			
CloudTechnologies_LeanKaizenValueStreamMapping	true			
CloudTechnologies_LegalProfessionalServices	true			
CloudTechnologies_MainframeComputers	true			
CloudTechnologies_ManufacturingEngineering	true			
CloudTechnologies_MarketingPerfMgmt_One	true			
CloudTechnologies_MarketingPerfMgmt_Two	true			
CloudTechnologies_MarketingPerformanceMeasurement	true			
CloudTechnologies_Media	true			
CloudTechnologies_Medical	true			
CloudTechnologies_MiddlewareSoftware	true			
CloudTechnologies_MidrangeComputers	true			
CloudTechnologies_MobileEnterpriseManagement	true			
CloudTechnologies_MobileTechnologies	true			
CloudTechnologies_NetworkComputing_One	true			
CloudTechnologies_NetworkComputing_Two	true			
CloudTechnologies_NetworkManagementHardware	true			
CloudTechnologies_NetworkManagementSoftware	true			
CloudTechnologies_NewTechnologyDetected	true			
CloudTechnologies_OSComputingLanguages	true			
CloudTechnologies_OVP	true			
CloudTechnologies_PaaS	true			
CloudTechnologies_PartnerManagement	true			
CloudTechnologies_Philanthropic	true			
CloudTechnologies_PLM	true			
CloudTechnologies_PPM	true			
